,name,qualification,specialization,clinic_address,timing_days,timing_session,review_score,consultation_fee,current_url,feedbacks

9,Dr. Girish B Navasundi,"MBBS, MD - General Medicine, DNB - Cardiology","Cardiologist
24 Years Experience Overall  (16 years as specialist)","154/11, Bannerghatta Road, Amalodbhavi Nagar, Panduranga Nagar, Landmark: Opposite IIM, Bangalore",Mon - Sat,10:00 AM - 04:00 PM,86% (28 votes),₹1000,https://www.practo.com/bangalore/doctor/girish-b-navasundi-cardiologist?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing,"[""Visited For Angioplasty and StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr. Girish has been a God to us. I was surprised to see such down to earth highly qualified doctors with an everlasting smile. 30% of the fear due to the illness of my dad got vanished merely by seeing the greeting smiles of them. He saved my father's Life and minimized the risk related to heart like a God. In a condition, where other Hospitals were either suggesting By Pass Surgeries or not willing to operate the Left side of the Heart by Angioplasty, Dr. Girish took extra effort to operate all the narrowing in both side of the Heart including Roto with great difficulty, patience & effort. I was overwhelmed by his gesture when he greeted me & consoled me with belief & faith with the success of the operation before entering the Operation theatre. After 2 hours of operation, when he came out, even before washing his hands, he waved me from inside to make me feel safe & secure. From him, my father might be just a patient but he understood the pain I have been going through that 2 hours. The Operation is successful. Today, My Dad is recovering well and rapid. Thank you so much, Doctor!!"", 'I recommend the doctorMy neighbor had visited the hospital as he had chest pain. ****** *** ***** I would like to recommend the doctor for my family and friends. Patient is absolutely satisfied with the explanation given by the doctor. Tablets were prescribed by the doctor. Angiogram was done. There was no waiting time in the hospital when we went. Diet and exercise were suggested. Doctor was friendly and explained clearly about the health condition.', 'I recommend the doctorI had been to hospital and consulted the doctor as I had chest pain. ****** *** ***** I am satisfied with the treatment given by the doctor. I can surely recommend doctor to others. I had taken medical tests as well then medicine were prescribed by doctor. There was not much waiting time in the hospital. Exercise was suggested. Cholesterol was told to control. Doctor was very friendly.', 'I recommend the doctorMy mother had visited the hospital as she had chest pain, tiredness and breathlessness. ****** *** **** *** there was more waiting time in the hospital, I approximately waited for 2 hours that was concern. I would like to recommend the doctor for my family and friends. I am satisfied with the explanation given by the doctor. Angiography procedure was done and medication is going on. Walking, diet was suggested to follow.', ""Visited For Coronary Angioplasty / Bypass SurgeryI do not recommend the doctorI visited him for my mother and completed angioplasty. After the procedure he doesn't care the patient and never checked at least once in the 3 days of hospitalization. I have to run behind him to request for checking the patient. Finally after escalation and just before discharge he agreed to meet us in his consultation room and sent us out. He didnt spend much time on clarifying our queries. This is not a good care and way of caring heart patients. * ***** ******** ***** ** *** ****** ****** *** ***** **** ** ******** **** **** *** **** **** **** **** ** **** *** ********. Also the secretary and other staff also working in the same way as he does. Not worth visiting this doctor."", 'I recommend the doctorThe consultation was for my mother she had blockage in her so we met the doctor & the he suggested us to go for Engioplasty after doing that my mother is doing fine now the doctor was co-operative very polite surely recommend others', 'Visited For Carotid Angioplasty And StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr.Girish is afriendship doctor. He become my friend. His tretment and behav is so good. And all the asst. of Dr. are also very good. Thanks to all.', 'Visited For Angioplasty and StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyMy uncle in law was suffering from 90 % blockage. I suggested them to Dr. Girish Navasundgi sirHe speaks calmly and make us to understand better about patient situation and also tells how we should go ahead. One of the very well experienced, most trusted and so down to earth Doctor I met.', ""Visited For Coronary Angioplasty / Bypass SurgeryI recommend the doctorHe provied right suggestion according the disease. Don't force to do surgury or operation. If the disease is able to solve by teb . than he will give teb. Only. Not give suggestion to do surgery. And very Cooperative. I'm totally satisfied.."", 'Visited For HypertensionI recommend the doctor**** ******* *** **** *** * ****** Treat patients very well. I suggest to consult this doctor for all cardio related issues.']"

10,Dr. Venkatesh T K,"MBBS, MD - General Medicine, DNB - Cardiology","Interventional Cardiologist, Cardiologist
36 Years Experience Overall  (12 years as specialist)","154/11, Bannerghatta Road, Amalodbhavi Nagar, Panduranga Nagar, Landmark: Opposite IIM, Bangalore",Mon - Sat,"10:00 AM - 11:00 AM
02:00 PM - 04:00 PM",,₹1000,https://www.practo.com/bangalore/doctor/dr-venkatesh-t-k?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Angioplasty and StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr. Venkatesh treated my dad with upmost care. Although my dad & his reports were not in station, he eagerly looked into the Angiogram video (done in a different place) of my father in my mobile and suggesting corrective treatments. He patiently advised me many things and repeated them again & again for my better understanding. The operation was done by Dr. Girish and although it was critical, it was successful. Dr. Venkatesh has visited us many times during our stay at the hospital despite his busy schedule to enquire about the wellbeing of my father. During the follow up visits Dr. Venkatesh has examined my Dad with upmost details, gave proper advices, and suggested & changed medicine courses to suit my dad’s body as he has high blood pressure & diabetics. I wish him great success in his career and love from his patients.', 'I recommend the doctorMy father in law had consulted the doctor and it was for heart checkup. Consultation was good by the doctor. We met him thrice. I can surely recommend doctor to others. We are satisfied with the explanation given by the doctor. ECG was done. There was not much waiting time in the hospital when we went. He is heart patient. Doctor was friendly.', 'Visited For Coronary Angioplasty / Bypass SurgeryI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr. T K Venkatesh has become our family doctor now. I had my first consultation in 2016 when I had a heart attack. As per his valuable advice I have gone for angioplasty and leading a healthy life now. His approach to the issues and friendly behaviour attract me a lot. After that my brother also had heart problem and undergone angioplasty as per his advice. I am very much impressed by his approach and friendliness.', 'Visited For Heart ConditionsI do not recommend the doctorHoped for better: Explanation of the health issueTreatment satisfactionValue for money', 'Visited For CardioversionI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyGoodAble to explain our concernsDr identified the proper cause and gave a suitable treatmentHappy with itCool and friendly doctor']"

11,Dr. Ranjan Shetty,"MBBS, MD - Medicine, DM - Cardiology","Cardiologist, Interventional Cardiologist
20 Years Experience Overall  (14 years as specialist)","98, Kodihalli, Landmark: HAL Bus Stop, Bangalore",Mon,01:00 PM - 04:00 PM,92% (85 votes),₹900,https://www.practo.com/bangalore/doctor/dr-ranjan-shetty-cardiologist?practice_id=630200&specialization=Cardiologist&referrer=doctor_listing,"[""Visited For Implantable Cardioverter-Defibrillators (Icds)Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessTreatment satisfactionValue for moneyWe took my dad to Mainpal hospital in critical health condition. Doctor Ranjan shetty handled medical management and my father recovered. Later doctor suggested to go for CRTD device implantation to get rid of frequent hospitalisation but we didn't opt for it immediately later after few months my father fallen sick again. This time we just went with CRTD implantation. Surgery was successfully and my father is really doing good and active. In my view Ranjan shetty is the best cardiologist in Bangalore. Earlier my farther got treatment from other hospitals but Ranajan shetty is exceptional"", 'Visited For Cardiac ArrhythmiasI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyDr Ranjan Shetty is extremely good and us absolutely recommended from any cardiac complication(s). My father in law was brought into emergency with arrhythmia in April 2018. From initial diagnosis to treatment, from treatment to post operative care - he was there with us in every step of the way. He is a pioneer in his field and has orchestrated many complicated solutions including incorporation of watchman device in our case. My father in law has been doing better ever since and we are absolutely thankful for the care and support received.', ""I recommend the doctorHe didn't prescribe any medications but I underwent some kind of tests & procedures at the hospital during the diagnosis. I am feeling better after the consultation. The doctor was friendly while discussing the issues. With his clarified explanation, I was able to understand what is the cause and how to get over it. It was a good experience in total."", ""Visited For Heart ConditionsI do not recommend the doctorHoped for better: Explanation of the health issueWait timeI visited Manipal Hospital, old airport road, to consult a cardiologist as I was having chest pain. We waited for around 1 hour and 45 minutes for the doctor's consultation. (Which I didn't mind as a Cardiologist can have urgent engagements during the OP time). Upon entering the consultation room, doctor just asked if I had chest pain while walking, and when I said yes, he referred us to a TMT test. We came back to the doctor with the result, he just asked me to exercise regularly and consult him after a month. I felt this is fine for people of age 30-40 but I went there as my triglycerides where close to 700 and since I was taking medicines for other health conditions relating to heart health. Since I sensed doctor was in a hurry to get through the patients, I quickly informed him about the conditions and the lipid profile and triglycerides values which finally got his attention. Doctor, advised us for a CT Coronary Angiogram in a couple of days. Overall, it's my personal feeling, I feel I was not given time to explain my ailment *** **** ****** *** * ********* **** ** **** ******** ***** ** ***** *** ******* **** ** ******** **** *** ********** *** ************* *** *********I have decided to trust in his abilities and methods of diagnosis/treatment and see how it goes. Following doctor's advices..."", 'I recommend the doctorI am completed with my initial treatment and the follow up is awaited on the results. May be after three months, I will have my next session. During the consultation, he was very nice and he explained everything in detail. It was a good experience in total.', 'I recommend the doctorThough it was my first consultation, it was significant and satisfactory in all aspects. Whatever tests he prescribed to me was as required for the diagnosis. *** ******* *** ******* ** ***** It took around 45 minutes to consult him because he has gone for rounds when I reached there. It was alright and I am happy with the entire experience.', 'I recommend the doctor*** ****** ****** ** *** ** *** ********** ******* ** ******* *********** He is obviously the one to recommend. I got operated recently and the outcome has been promising and effective. I got exceptional support from the management during my consultation and there was no waiting period as such.', 'Visited For HypertensionI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeConsulted Dr.Ranjan Shetty, a famous Cardiologist in the town. Doctor is very friendly, polite, approachable and very assuring. Never came across such a nice doctor and a good human being. The clinic is maintained very well. Felt more positive after consulting Dr. Ranjan shetty. I would highly recommend Dr. Ranjan Shetty.', ""I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueWait timeI truly appreciate Dr. Shetty's efforts to make the patient comfortable enough to be able to discuss her health issues without any hesitations. Especially commendable, since the patient, my mother, a senior citizen, who can get easily intimidated just by the general atmosphere of hospitals and clinics."", ""I do not recommend the doctorI think that the doctor should be more conversational with patients to know about their condition after the treatment. ******* ** *** *** **** ******** ** *** **** ** ** ** *********** He was hurried with the session and it has happened twice with me. I was not getting sufficient time to discuss the matter. Also, the waiting period is so high that the crowd was very huge. The doctor also goes for Inpatient ward rounds. So it took me a total of 3 hours to get my consultation done. I probably don't recommend him for his less involvement and also for the treatment plan. Because, when I started visiting another doctor at a different hospital, I was informed about the critical condition of my health where I was not at all informed anything earlier at Manipal.""]"

12,Dr. Vithal Bagi,"MBBS, MD - General Medicine, DM - Cardiology","Cardiologist
18 Years Experience Overall  (8 years as specialist)","154/11, Bannerghatta Road, Amalodbhavi Nagar, Panduranga Nagar, Landmark: Opposite IIM, Bangalore",Mon - Sat,12:00 PM - 04:00 PM,,₹1000,https://www.practo.com/bangalore/doctor/dr-vithal-bagi-cardiologist-1?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing,"[""I recommend the doctorFor both me and my family, this doc proves to be the best cardiologist we have ever consulted so far. He is detailed and accurate when it comes to his understanding of his patients health concerns. Calmly replies to all our queries and explains us about problem, medication and care.Unlike the scary industry out there wherein doctor's dupe you for unnecessary tests and medications/surgery. Doctor Vithal Bagi, on the other hand simply ensures to prescribes us medicine or test only if it is extremely necessary.My dad had a CT scan which suggested the need for angioplasty. We were all set and got admitted. This was headed by Dr.Vithal. In the midst of Angiogram, Dr Vithal felt that there was no need for an angioplasty and could be managed with medicines and a surgery is not required. He called me and showed how the blockage looked like and why the procedure was not required. I was surprised to see this happening in current age where Doctors and hospitals are believed to encourage more and more surgeries.My dad has been his patient since 10 years and I am really indebted to him for the kind of treatment, the kind of positivity he gives us and for being always so approachable."", 'I recommend the doctorI have consulted the doctor for a cardiac issue. ****** *** ****. There were extra charges which I paid, that was concern and it was hospital management issue. I regularly visit him and he is a nice doctor. I would like to recommend this doctor to my family and friends. There was waiting time in the hospital, it was for 30 minutes. Exercise was suggested.', 'I recommend the doctorI booked the appointment was for myself it was a good experience I am Blood Pressure patient the doctor was very good he was well behaved & polite he gave me good medicines which helped me out I would definately recommend the doctor to others']"

13,Dr. Ravindranath Reddy D.R,"MBBS, MD - General Medicine, DM - Cardiology","Cardiologist
16 Years Experience Overall","67, Uttarahalli Road, Landmark: Near Abhiman Studio & SGBIT Engineering College Campus 1st Building, Bangalore",Mon - Thu,11:30 AM - 01:00 PM,100% (34 votes),₹800,https://www.practo.com/bangalore/doctor/dr-ravindranath-reddy-d-r-cardiologist?practice_id=664585&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Carotid Angioplasty And StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionDoc has a very nice demeanour and is very patient in explains the situation. He filled with confidence and post the procedure has been kind to guide us through responding to our WhatsApp messages too.I had gone into the ER with profuse sweating and symptoms of a cardiac arrest. It was a Sunday. I did have heart attacks in the ER and was revived thanks to the docs at the ER and was wheeled into the catch lab. Dr. Reddy took over and gave a lot of confidence and completed the procedure of angiogram and angioplasty.', 'Visited For Cardiac checkup - GeneralI recommend the doctorVery pleasant approach and interaction I had with Dr. Ravindranath Reddy. It was an annual general check up and doctor made it so easy. Listens to us in detail and understands our conversation well. Suggested few healthy tips to continue to be on good health !🙏Thanks a ton Sir ! 🙏', 'I recommend the doctorI had been to hospital and it was for acidity issues. Consultation was fine by the doctor. I had telephonic consultation. I would like to recommend the doctor to many people. I am satisfied with the explanation given. Tablets were prescribed by the doctor. There was no waiting time when we went. Doctor was friendly. I was unable to have video consultation as we had some issues and later we had telephonic consultation.', 'I recommend the doctorI had visited the hospital and it was heart pain related. Doctor was good in consulting me. I can surely recommend doctor to my family or friends circle. Tablets were prescribed by the doctor. There was no waiting time when we went. ECG was done and doctor was friendly.', 'I recommend the doctor\\""I had visited the hospital and it was heart related. Consultation was fine by the doctor. I regularly visit him. Since last 4 years I am visiting him. I have already recommended the doctor to my family or friends.\\u00a0Tablets were prescribed by the doctor. Scanning, blood test, echo was done. There was no waiting time in the hospital\\u00a0when we went. Diet was told to followed. Stunt was fixed. I am visiting him once in 6 months. I am satisfied with the explanation given by the doctor. \\r\\n\\', 'Visited For Hypertension TreatmentI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for money**** ************ ** ***** He listens to you, very friendly, advises optimal tests and medications. He is very busy doctor, had to attend emergency case for doing procedure. Still it was worth waiting for him . Othe staff, ECG, Echo performing doctors are also good.', 'I recommend the doctorMy colleague had met the doctor and it was for BP issue. *** ****** *** ***** We are satisfied with the treatment given. The doctor advised on good health practices. I can recommend doctor to my family or friends. The doctor was on time in the hospital, he advised on lifestyle changes and prescribed BP tablets. My college is good now. Hospitality was good.', 'Visited For Coronary Angioplasty / Bypass SurgeryI recommend the doctorDr Reddy is a wonderful doctor and human being. He has been my doctor for 7 years now and there is no one else I would go to for advice about my heart', 'I recommend the doctorThe treatment he did it well and it went well, we met him in hospital directly, my mother had to undergo pacemaker everything went well. He was very good with her, he was listening to our problems, one thing I want to improve is when they give the appointment after we go there we need to wait for the long time for consultation I feel this should be corrected because when a doctor is not there, they make us wait for a long time. I would like to recommend the doctor to my friends and all, I am satisfied with the doctor’s treatment. We met three doctors there, the treatment he did it well when we went for checkup also he spoke to mom very nicely.', 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait time**** **** ******* speaks softly, explain s well about the problem, accurate diagnosis and treatment.all happened with in 2 hours including pulmonologist referral and CT scan. Well organised multi-speciality hospital.']"

14,Dr. Prabhakar C Koregol,"DM - Cardiology, MD - General Medicine, MBBS","Cardiologist, Interventional Cardiologist
23 Years Experience Overall  (15 years as specialist)","Number 66, 14th Cross, East Park Road, Sampige Road., Landmark: Opposite Sai Baba Temple., Bangalore","Mon, Wed, Fri",01:30 PM - 02:00 PM,97% (1553 votes),₹700,https://www.practo.com/bangalore/doctor/dr-prabhakar-c-koregol-cardiologist-3?practice_id=1286608&specialization=Cardiologist&referrer=doctor_listing,"[""Visited For Heart ConditionsI recommend the doctorHappy with: Explanation of the health issueTreatment satisfactionDr Prabhakar is very professional in his approach. He provides sufficient information about the condition without under or over stating the seriousness of the issue. Unlike some doctors who like to prescribe all kinds of tests , I feel Dr Prabhakar only gets the most relevant tests done. He also does not overload you with unnecessary medication either. It is important that we as patients trust the doctors and allow them to go about their line of treatment without trying to second guess their moves. I have consulted Dr Prabhakar both for myself as well as for my father's heart condition for 18 months now. Based on the progress and current symptoms, he regularly changes the dosage and type of medication. This indicates that he has a well thought out process behind his line of treatment. I owe my dad's life to him."", 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionDoctor was very helpful,he advised the right prescription by suggesting the right procedures to follow which ideally helps me to take care of my health.', 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfaction*** **** **** **** ****** iam so happy very good treatment and check up iam satisfied iam so happy okay sir', 'Visited For Coronary AngiogramI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr. Prabhakar Koregol is a very professional Doctor, who provides honest diagnosis of the problem, without any exaggeration. Makes the patient comfortable through his professional approach. He understands the patient properly and make him comfortable. Does not involve in any unnecessary comments. I feel very fortunate to come under the care of such an excellent Doctor.I would certainly recommend this Doctor and the hospital for any of my friends and relatives, who need any cardiac treatment.Dr Chanakanti Ravikumar, Ph. D.9th Block, Jayanagar, Bangalore', ""Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyIn general all staff in your institutionknow their responsibility, and all arevery cardial with patients.Reg Dr Prabhakar,he takes care ofthe patients' heart as if it is of his ownheart. I pray the ALMIGHTY to showerhim with all blessings.R.Sathiyanarayanan. UHID 12027354"", 'Visited For EchocardiographyI recommend the doctorHappy with: Explanation of the health issueVery understable and clear and cooperative realistic and and analyses earlier results for better understanding.', 'Visited For Cardiac AblationI recommend the doctorHappy with: Explanation of the health issueWe Ara satisfaction with your suggestionYour suggestion has been more helpful to us for further treatment', 'Visited For Coronary Angioplasty / Bypass SurgeryI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyVery methodical, knows, his, patient very well. Very professional... Good clarity on what needs to be prescribed, very quick analysis of reports and suggest the, next plans etc.,', 'Visited For Carotid Angioplasty And StentingI recommend the doctorHappy with: Treatment satisfactionGood is excellent!!Staff co ordination is 0. From 1 pm to 4.40pm i was in clinic, for 10 mins echo and consultation..Patient and attenders got headache and backpain..Patient critical wise they should send it to doctor..Waited for 2.30 hrs for echo report..', 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessTreatment satisfactionIt was a good experience.doctor has a good way approching towards patient it Was a nice health check up...']"

15,Dr. Pradeep Kumar D,"MD - Pediatrics, MBBS, DM - Cardiology","Cardiologist, Interventional Cardiologist
15 Years Experience Overall","No. 43/2, New Airport Road, NH.7, Hebbal, Sahakara Nagar, Landmark: Opposite Godrej Apartments, Bangalore",Mon - Sat,10:30 AM - 04:00 PM,100% (41 votes),₹900,https://www.practo.com/bangalore/doctor/dr-pradeep-kumar-d-cardiologist?practice_id=1146253&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Heart ConditionsI recommend the doctorI visited doctor Pradeep sir for my grandfather. He is definitely a great doctor. Few things which were really touching about the doctor:1) he was patient enough to hear the problem2) considering age of my grandfather, he was very cautious about the treatment. He only prescribed tests which were really needed and suggested to manage his health condition through medicines only.3) As my grandfather was in Bangalore just for a few days, he provided his contact details to share the report after 1 week and very kind in responding over the phone.4) His staff members were also very supportive, helped us in getting hard copy of test reports.Thanks so much Pradeep sir! God bless you.', 'I recommend the doctorHappy with: Doctor friendlinessHonestly speaking pradeep sir is the humble honest and great doctor,Reasons1.will under stand condition.2.will. Not give unnecessary tests,3.he is not commerciamind.Quality of treatmentHe also eased my anixety also hence i was visiting for phys chia rt also.Very friendly and patiently explain the situation.Highly strongly recommended for Pradeep sir.One example i need to share...i forced sir to do test sir told me why unnecessary spending money for doctors if u have more pl give to charity...very great full.jai hind.', 'Visited For BP MonitoringI recommend the doctorHappy with: Explanation of the health issueTreatment satisfactionI had imbalance in walking. Since I was consulting him for heart issue, I reported the problem to him. He suggested to meet Neorologist and with the same appointment fee, I could consult neorologist. After wards I will be briefing him his findings.Over all good treatment.', 'Visited For Carotid Angioplasty And StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait time** ** *** ** *** **** ******* ** ***** **** ******** ******* *** ** *********** ***** * ***** *** ********* ** *****I had taken my father who is a heart patient for years to him , we ended up stenting , was a critical case though but he dealt the case with ease and assuring good health.I take this opportunity to pen down my comments here so that people who are really in search of a good cardiologist read through this.', 'I recommend the doctorHappy with: Treatment satisfactionWait timeValue for moneyExplanation of the health issueDoctor friendlinessGreat attention to hear the patient in detail by the Doctor who also provided a convincing and comforting analysis plus great support from Priyanka who assisted with the ECG and echo with great dedication and Manju at the reception who expedited meeting doctors without having to wait endlessly.Very happy with the service', 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeI visited Dr. Pradeep Kumar as I was worried about a recurring chest pain. He was very patient and made me feel comfortable. He was spot on with the diagnosis and treatment plan and clearly explained everything. I was very satisfied with the experience and highly recommend him to anyone for heart related matters.', 'Visited For Electrocardiography (ECG)I recommend the doctorA recent visit with Dr. Pradeep was incredibly pleasant, and easy going. He was very empathetic, and understanding to me as a patient.His demeanor is such that you feel comfortable enough to explain concerns, and ask the simplest of questions. I would absolutely recommend Dr. Pradeep as one of the best cardiologist experiences for anyone, and I am extremely delighted, to have Dr. Pradeep as my doctor for anything heart related.', 'Visited For Heart ConditionsI recommend the doctorDr Pradeep kumar is very very friendly . excellent. Dr speaking all language. well experienced thanks', 'Visited For Cardiac DiseasesI recommend the doctorHappy with: Doctor friendlinessTreatment satisfactionWait timeExplanation of the health issueWas visited doctor for problem of uneasiness or pain in chest. Doctor listen to my issue with calm and cool. Explain the issue very neatly. *** *** ********** *********** ***** ** ************', 'I recommend the doctorHe is very simple down to earth. Easily approachable.One word i put he is my GOD. He gave me 2nd life.']"

16,Dr. R.S. Venkatesulu,"MBBS, MD - General Medicine, DM - Cardiology","Interventional Cardiologist, Cardiologist
19 Years Experience Overall  (17 years as specialist)","No. 43/2, New Airport Road, NH.7, Hebbal, Sahakara Nagar, Landmark: Opposite Godrej Apartments, Bangalore",Mon - Sat,11:00 AM - 04:00 PM,67% (12 votes),₹900,https://www.practo.com/bangalore/doctor/r-s-venkatesulu-cardiologist?practice_id=1146253&specialization=Cardiologist&referrer=doctor_listing,"['I recommend the doctorThe Appointment was for my Father . He had gone through Angioplasty so regarding that we met the doctor actually our appointment time was given at 11 but we could meet the doctor at 11:55 it was a long wait rather than that there are no complaints . The doctor was good gave required medications. I am satisfied with the treatment. I would recommend the doctor to others.', ""I recommend the doctorI happened to meet the doctor, and the consultation experience was good. Got to know about the doctor from practo. He was listening to my problems whatever I said to him about my problem. The medicines he suggested were helpful to cure my problem. The doctor's behaviour is good with me. I would recommend the doctor to my family and friends. I'm satisfied with the treatment and the consultation of the doctor."", 'I do not recommend the doctorHoped for better: Treatment satisfactionWait timeI am diabetic and heart patient. I underwent Master health check in Aster, Sahakaranagar. I wanted to take his views. He was the only doctor available at that time and I had to wait for him. I was asked to wait. As the wait period was very long I went back to check. He was chit chatting with some one. On seeing me then they cleared to see me. Not at all professional approach. Sorry for the my review.', ""Visited For Carotid Angioplasty And StentingI do not recommend the doctorHoped for better: Explanation of the health issueTreatment satisfactionValue for money*** ****** ****** ******** ******** ******* *** ******** ***** the family was not convinced the patient was well treated. We definitely don't recommend this Dr. to anyone."", 'I recommend the doctorMy mom had visited the hospital and consulted the doctor as she had thyroid and asthma problem. Doctor was very good but hospital management, security was not good that was concern. There was more waiting time in hospital, it was nearly 2 hours. I can surely recommend doctor to others. He told to continue same tablets which was prescribed earlier. Diet was suggested and told to avoid oily food. Doctor was very friendly.', 'I recommend the doctor****** ******* ** ***** I visited for cardiac issue. Doctor behaviour was good and I am satisfied with doctor treatment. When it comes to improvement everything was good. I would like to recommend this doctor to others and I would like to give a rating of 4/5. I got to know about the doctor from Practo and the doctor prescribed medicines which were helpful.', 'Visited For Pulmonary HypertensionI do not recommend the doctorHoped for better: Value for moneyDoctor friendlinessExplanation of the health issueTreatment satisfactionValue for money', 'Visited For Cardiovascular ConditionsI do not recommend the doctorHoped for better: Explanation of the health issueValue for money']"

