,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
30,47,8,3,4,1,1,2,4,2,115,1,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
31,46,1,2,7,1,1,1,3,4,227,2,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
32,27,10,2,6,2,1,1,3,1,275,1,999,0,3,-1.8,92.893,-46.2,1.299,5099.1,0
33,29,10,2,4,2,1,1,4,5,365,3,999,0,3,-2.9,92.963,-40.8,1.268,5076.2,1
34,32,8,3,3,1,1,1,5,3,68,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
35,36,2,2,2,1,1,1,3,3,54,1,999,2,2,-1.8,92.893,-46.2,1.334,5099.1,0
36,29,2,2,1,2,2,1,5,1,93,1,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
37,47,10,2,4,1,1,1,2,1,267,2,999,1,2,-1.8,93.075,-47.1,1.405,5099.1,0
38,44,2,2,1,2,1,2,4,1,17,25,999,0,3,1.4,94.465,-41.8,4.96,5228.1,0
39,54,5,2,7,2,2,1,6,4,121,11,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
40,36,2,2,3,1,1,2,3,4,294,2,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
41,42,2,2,1,2,1,2,3,3,24,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
42,44,2,2,1,1,1,1,5,2,345,5,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
43,72,6,3,2,2,1,1,9,3,244,2,999,0,3,-3.4,92.649,-30.1,0.715,5017.5,1
44,48,2,2,3,1,1,1,6,2,213,3,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
45,36,5,2,4,2,1,1,9,4,371,1,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
46,35,4,2,1,2,1,1,6,1,87,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
47,43,3,2,2,2,1,1,3,1,195,3,999,1,2,-1.8,92.893,-46.2,1.354,5099.1,0
48,56,6,2,1,2,1,1,6,3,102,1,999,0,3,1.4,93.444,-36.1,4.967,5228.1,0
49,42,2,2,3,2,1,2,4,5,93,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
50,31,1,1,7,2,1,1,3,1,244,1,999,0,3,-1.8,92.893,-46.2,1.354,5099.1,0
51,32,10,2,3,1,1,2,4,4,52,5,999,0,3,1.4,94.465,-41.8,4.958,5228.1,0
52,33,2,2,4,2,2,1,3,1,164,2,999,1,2,-1.8,92.893,-46.2,1.354,5099.1,0
53,31,2,2,2,1,1,2,4,3,91,4,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
54,39,5,2,7,2,1,2,3,3,68,1,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
55,30,2,2,4,1,1,2,3,1,122,4,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
56,24,5,1,7,2,1,1,3,4,45,4,999,1,2,-1.8,92.893,-46.2,1.27,5099.1,0
57,24,1,2,4,1,2,2,3,1,61,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
58,38,2,2,6,2,1,2,3,3,162,4,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
59,26,2,2,4,2,1,2,4,3,126,12,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
60,41,10,2,6,1,1,2,3,2,92,1,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
61,34,1,2,4,2,2,1,2,5,329,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
62,30,5,2,7,1,1,1,1,1,116,1,999,0,3,-1.8,92.843,-50.0,1.811,5099.1,1
63,37,1,2,7,2,1,1,9,5,450,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
64,68,6,2,1,2,1,1,5,3,665,1,999,0,3,-2.9,92.469,-33.6,1.029,5076.2,0
65,31,1,1,4,1,1,1,5,5,168,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
66,48,10,3,7,2,1,1,2,4,132,1,999,0,3,-1.8,93.075,-47.1,1.365,5099.1,0
67,33,10,2,6,2,1,2,3,1,349,4,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
68,59,7,1,7,2,1,2,3,5,249,3,999,0,3,-1.8,92.893,-46.2,1.259,5099.1,0
69,44,2,2,8,2,1,2,3,2,336,3,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
70,28,12,1,8,2,1,2,4,4,169,1,999,0,3,1.4,94.465,-41.8,4.866,5228.1,0
71,50,5,2,7,1,1,1,6,2,89,3,4,1,1,-2.9,92.201,-31.4,0.883,5076.2,0
72,33,3,2,7,1,1,1,9,4,55,1,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
73,45,8,2,6,2,1,2,3,1,221,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
74,40,5,2,7,1,1,1,5,1,77,2,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
75,45,8,2,6,1,1,2,6,4,64,18,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
76,43,10,3,7,1,1,2,3,1,62,2,999,0,3,1.1,93.994,-36.4,4.858,5191.0,0
77,54,2,2,6,2,2,2,3,1,198,3,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
78,53,10,3,6,1,1,2,3,2,249,1,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
79,35,7,1,7,2,1,1,5,4,106,1,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
80,30,10,1,6,2,1,1,6,5,445,1,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
81,25,10,2,6,2,1,2,4,3,149,2,999,0,3,1.4,94.465,-41.8,4.962,5228.1,0
82,35,8,3,6,1,2,1,6,4,66,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
83,54,1,2,7,2,1,1,1,1,415,1,999,0,3,-1.8,92.843,-50.0,1.56,5099.1,1
84,30,2,2,2,1,1,1,5,1,173,2,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
85,38,1,2,7,2,1,1,6,2,173,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
86,35,1,2,7,2,1,1,8,4,86,1,999,1,2,-3.4,92.431,-26.9,0.74,5017.5,0
87,47,2,2,6,2,1,2,3,3,131,1,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
88,32,2,1,4,2,1,1,5,2,523,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
89,27,2,2,3,2,1,2,3,2,383,1,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
90,40,2,2,3,3,3,2,9,4,160,1,999,0,3,-0.1,93.2,-42.0,4.245,5195.8,1
91,31,1,2,4,1,1,2,3,1,220,3,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
92,42,2,3,3,1,1,1,2,1,20,2,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
93,40,2,2,2,2,1,1,3,4,160,4,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
94,31,1,1,4,2,1,1,9,3,79,1,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,0
95,57,10,2,1,1,1,2,4,4,243,2,999,0,3,1.4,94.465,-41.8,4.958,5228.1,0
96,38,1,1,4,2,1,1,2,4,882,1,6,1,1,-1.8,93.749,-34.6,0.659,5008.7,1
97,39,8,2,4,1,1,2,3,1,5,2,999,0,3,1.1,93.994,-36.4,4.858,5191.0,0
98,37,1,3,4,2,2,2,3,3,354,5,999,0,3,1.1,93.994,-36.4,4.858,5191.0,0
99,50,11,2,6,2,2,1,5,4,225,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
100,33,2,1,1,2,2,1,2,4,460,1,999,0,3,-1.8,93.075,-47.1,1.365,5099.1,1
101,41,2,2,2,3,3,2,4,2,202,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
102,37,3,2,2,3,3,2,3,5,71,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
103,25,9,1,4,1,1,1,2,3,54,1,999,0,3,-1.8,93.075,-47.1,1.415,5099.1,0
104,35,1,2,4,1,1,1,5,5,451,1,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
105,46,5,2,7,1,1,1,5,1,662,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,1
106,29,1,3,7,1,1,2,4,1,187,3,999,0,3,1.4,94.465,-41.8,4.96,5228.1,0
107,35,1,2,7,2,1,1,6,4,82,4,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
108,48,3,1,6,2,1,1,3,3,606,3,999,0,3,-1.8,92.893,-46.2,1.334,5099.1,0
109,31,7,1,7,1,1,1,8,5,76,1,999,0,3,-3.4,92.431,-26.9,0.73,5017.5,0
110,33,2,3,3,1,2,2,3,4,18,6,999,1,2,-1.8,92.893,-46.2,1.266,5099.1,0
111,63,6,3,7,1,2,1,5,4,317,1,999,1,2,-2.9,92.469,-33.6,1.072,5076.2,0
112,38,1,2,4,2,1,1,9,2,67,2,999,0,3,-0.1,93.2,-42.0,4.153,5195.8,0
113,34,1,3,4,1,1,1,9,2,492,2,6,3,1,-3.4,92.649,-30.1,0.716,5017.5,0
114,34,8,3,4,1,1,2,5,4,212,4,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
115,47,5,2,7,2,1,2,3,3,267,2,3,3,1,-1.8,93.876,-40.0,0.682,5008.7,0
116,27,2,1,3,2,1,2,3,3,185,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
117,24,1,1,7,1,1,1,6,5,744,1,999,2,2,-1.7,94.027,-38.3,0.905,4991.6,1
118,36,2,2,3,2,1,1,3,3,499,3,999,0,3,-1.8,92.893,-46.2,1.281,5099.1,0
119,29,8,1,4,1,1,2,4,1,123,2,999,0,3,1.4,94.465,-41.8,4.958,5228.1,0
120,58,6,2,3,2,1,2,4,1,198,1,999,0,3,1.4,94.465,-41.8,4.865,5228.1,0
121,40,10,2,6,1,1,1,6,2,156,1,999,0,3,1.4,93.444,-36.1,4.968,5228.1,0
122,31,1,1,7,2,1,1,6,4,98,8,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
123,60,6,2,1,1,1,1,6,2,332,3,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
124,58,4,2,1,2,1,2,5,2,35,1,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
125,32,2,1,3,2,1,1,5,2,124,2,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
126,54,1,3,7,1,1,2,4,2,213,4,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
127,43,10,2,6,2,1,1,6,1,145,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
128,48,6,2,1,1,1,2,4,3,145,8,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
129,33,1,2,7,2,1,1,9,4,195,1,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
130,37,2,2,3,1,1,2,5,1,179,2,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
131,35,8,3,6,1,1,2,3,3,184,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
132,34,8,2,4,1,1,2,3,4,285,1,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
133,30,10,1,7,2,1,1,6,4,31,17,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
134,38,1,2,3,2,1,2,4,1,306,1,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
135,29,10,3,6,2,1,1,3,5,14,5,999,1,2,-1.8,92.893,-46.2,1.313,5099.1,0
136,49,3,2,7,2,1,1,2,1,334,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
137,48,5,3,7,1,1,1,6,5,117,1,999,0,3,-2.9,92.201,-31.4,0.869,5076.2,0
138,33,5,2,4,2,1,1,5,3,155,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
139,33,1,1,7,2,2,2,2,3,117,1,999,0,3,-1.8,93.075,-47.1,1.415,5099.1,0
140,42,5,2,7,1,1,2,3,5,206,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
141,39,1,2,7,1,1,2,4,2,102,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
142,55,3,2,7,2,2,1,9,2,157,2,999,0,3,-0.1,93.2,-42.0,4.153,5195.8,0
143,46,5,2,7,2,1,2,3,4,311,3,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
144,55,2,3,1,1,2,2,4,2,115,3,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
145,42,3,2,7,2,1,1,9,5,58,1,999,1,2,-0.1,93.2,-42.0,4.021,5195.8,0
146,24,9,1,4,2,1,1,3,3,290,1,999,1,2,-1.8,92.893,-46.2,1.281,5099.1,0
147,49,2,2,3,2,1,1,6,4,114,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
148,38,1,2,8,1,2,1,5,3,311,3,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
149,34,1,2,7,1,1,1,6,2,146,1,999,0,3,1.4,93.444,-36.1,4.968,5228.1,0
150,46,2,2,1,1,1,1,5,5,111,1,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
151,45,10,2,6,2,1,1,6,4,360,5,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
152,40,1,2,3,2,1,1,5,4,106,4,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
153,46,1,3,3,1,1,2,3,3,423,1,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
154,31,2,1,3,1,1,2,4,3,350,7,999,0,3,1.4,94.465,-41.8,4.962,5228.1,0
155,57,7,2,3,2,2,2,3,2,122,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
156,36,1,2,7,1,1,1,3,1,91,3,999,0,3,-1.8,92.893,-46.2,1.299,5099.1,0
157,50,10,2,6,3,3,1,9,2,319,2,999,1,2,-0.1,93.2,-42.0,4.153,5195.8,0
158,32,1,1,4,2,2,1,2,3,120,1,999,0,3,-1.8,93.075,-47.1,1.415,5099.1,0
159,38,1,1,7,2,1,1,5,1,82,2,999,0,3,-2.9,92.469,-33.6,0.914,5076.2,0
160,50,1,2,7,3,3,1,3,3,801,1,999,1,2,-1.8,93.876,-40.0,0.682,5008.7,0
161,42,2,2,1,2,1,2,4,4,168,2,999,0,3,1.4,94.465,-41.8,4.866,5228.1,0
162,31,10,2,6,2,1,1,6,3,409,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
163,27,11,1,7,2,1,1,5,2,120,1,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
164,44,7,3,4,2,1,2,4,1,123,1,999,0,3,1.4,94.465,-41.8,4.865,5228.1,0
165,26,4,1,4,2,2,2,5,4,127,1,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
166,30,2,1,4,2,1,1,3,4,340,1,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
167,39,7,1,4,2,1,1,9,5,169,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
168,64,6,2,8,1,1,1,6,5,252,4,999,0,3,-2.9,92.201,-31.4,0.849,5076.2,1
169,36,5,2,7,3,3,1,7,3,331,1,6,4,2,-1.1,94.199,-37.5,0.876,4963.6,1
170,42,2,2,1,2,1,2,3,3,191,4,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
171,42,8,1,4,1,1,1,3,4,122,2,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
172,40,1,3,4,1,1,1,5,3,1776,3,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
173,34,8,2,4,1,2,1,3,3,362,2,999,1,2,-1.8,92.893,-46.2,1.334,5099.1,0
174,31,2,2,2,2,2,2,3,4,237,2,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
175,49,1,1,7,1,1,2,3,5,201,3,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
176,35,11,3,3,1,1,1,5,4,169,7,999,0,3,1.4,93.918,-42.7,4.958,5228.1,0
177,60,1,2,8,1,2,2,3,1,213,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
178,38,1,3,3,1,1,1,9,5,271,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
179,32,5,2,6,1,1,1,3,4,125,1,999,1,2,-1.8,92.893,-46.2,1.266,5099.1,0
180,50,7,2,3,2,2,1,3,1,673,6,3,1,1,-1.8,92.893,-46.2,1.354,5099.1,1
181,41,1,2,7,2,1,1,2,5,961,6,999,0,3,-1.8,93.749,-34.6,0.644,5008.7,1
182,45,1,2,4,1,1,2,3,3,215,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
183,46,2,2,2,1,2,2,4,2,179,2,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
184,55,12,2,1,2,1,2,3,1,336,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
185,33,10,3,6,2,1,2,3,5,44,1,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
186,45,2,2,8,1,1,2,3,1,223,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
187,29,2,2,4,2,1,1,3,3,66,1,999,0,3,-1.8,92.893,-46.2,1.281,5099.1,0
188,42,10,2,4,1,1,1,5,3,252,2,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
189,39,4,2,7,2,1,2,3,1,167,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
190,58,2,2,8,2,1,1,5,4,180,4,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
191,32,5,3,7,2,1,1,5,2,123,4,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
192,44,10,3,6,2,1,1,2,4,18,3,999,1,2,-1.8,93.075,-47.1,1.41,5099.1,0
193,49,7,2,6,1,1,2,3,5,374,2,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
194,29,2,2,2,2,1,1,3,4,108,4,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,0
195,51,5,2,7,1,1,2,4,3,16,17,999,0,3,1.4,94.465,-41.8,4.962,5228.1,0
196,36,1,2,7,2,1,1,6,4,45,8,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
197,23,5,1,7,2,1,1,2,1,122,1,999,0,3,-1.8,93.075,-47.1,1.392,5099.1,1
198,31,5,1,7,2,1,1,6,1,72,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
199,32,10,2,8,2,1,1,5,5,107,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
200,58,7,3,6,1,1,2,4,4,197,1,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
201,31,8,1,4,2,1,1,5,3,21,20,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
202,32,2,2,6,2,1,1,3,5,160,2,999,0,3,-1.8,92.893,-46.2,1.25,5099.1,0
203,43,11,2,4,1,1,1,6,4,319,4,3,2,1,-2.9,92.201,-31.4,0.873,5076.2,0
204,48,1,3,6,2,1,2,3,5,427,3,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
205,28,1,1,4,2,1,1,5,4,270,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
206,52,8,4,6,2,1,2,4,5,7,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
207,36,5,2,7,1,1,2,4,4,22,1,999,0,3,1.4,94.465,-41.8,4.866,5228.1,0
208,39,1,3,4,2,2,1,2,4,433,2,999,0,3,-1.8,93.075,-47.1,1.41,5099.1,0
209,39,2,2,8,2,1,2,5,2,49,5,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
210,50,5,2,7,2,1,2,8,4,258,1,999,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
211,29,1,1,7,2,1,1,9,5,190,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
212,49,10,3,6,2,1,1,3,2,130,3,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,0
213,36,2,2,2,1,1,1,9,3,130,1,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,0
214,29,2,2,3,2,1,1,3,4,182,6,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,0
215,27,3,1,7,1,1,2,4,2,259,3,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
216,31,2,2,3,2,1,1,5,3,124,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
217,43,5,1,4,1,1,1,9,5,40,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
218,32,2,2,8,1,1,1,9,4,366,4,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
219,45,2,2,4,2,1,1,6,3,399,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
220,56,2,2,1,1,1,2,4,3,133,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
221,38,1,2,4,3,3,2,3,3,23,16,999,0,3,1.1,93.994,-36.4,4.858,5191.0,0
222,35,2,2,3,1,1,2,3,4,170,1,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
223,30,1,1,7,2,1,1,6,5,83,1,999,2,2,-2.9,92.201,-31.4,0.881,5076.2,0
224,46,5,2,7,1,1,1,2,5,79,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
225,43,2,2,3,2,1,1,3,4,93,4,999,2,2,-1.8,92.893,-46.2,1.327,5099.1,0
226,38,10,2,7,1,1,2,3,4,257,2,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
227,52,6,2,7,2,1,2,9,4,188,2,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
228,30,10,4,7,1,1,1,8,5,131,2,16,1,1,-1.1,94.601,-49.5,0.942,4963.6,0
229,31,11,2,4,1,1,1,9,2,111,2,999,1,2,-0.1,93.2,-42.0,4.153,5195.8,0
230,31,2,1,1,2,1,1,3,5,73,1,999,0,3,-1.8,92.893,-46.2,1.25,5099.1,0
231,24,10,1,6,1,1,1,3,4,175,1,999,1,2,-1.8,92.893,-46.2,1.266,5099.1,0
232,34,1,1,7,2,1,1,5,2,439,2,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
233,48,1,2,8,1,1,1,6,4,262,1,999,0,3,1.4,93.444,-36.1,4.968,5228.1,0
234,30,1,2,7,2,1,1,6,4,136,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
235,23,2,1,4,2,1,1,5,1,150,4,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
236,20,3,1,4,1,1,2,3,4,598,3,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
237,43,1,3,4,1,1,1,5,1,96,3,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
238,26,8,1,4,1,1,1,3,1,298,2,999,2,2,-1.8,92.893,-46.2,1.299,5099.1,0
239,58,11,1,1,1,1,2,4,1,170,6,999,0,3,1.4,94.465,-41.8,4.96,5228.1,0
240,26,1,1,7,2,1,1,3,2,104,5,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,0
241,35,1,2,4,2,1,2,3,5,213,14,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
242,35,1,2,4,1,1,1,5,1,356,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
243,59,1,3,6,1,1,1,6,2,206,1,999,1,2,-2.9,92.201,-31.4,0.883,5076.2,1
244,54,2,2,1,1,1,2,3,1,102,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
245,37,2,3,3,2,1,1,5,4,346,2,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
246,46,10,3,6,1,1,2,4,3,53,2,999,0,3,1.4,94.465,-41.8,4.962,5228.1,0
247,52,8,2,4,1,1,1,5,1,81,6,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
248,52,5,2,7,2,1,1,9,2,67,1,999,0,3,-0.1,93.2,-42.0,4.153,5195.8,0
249,32,9,1,7,1,1,1,3,5,209,1,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,0
250,33,8,2,1,1,1,2,3,2,202,4,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
251,33,10,3,4,2,1,1,3,2,247,1,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,0
252,42,10,1,8,1,1,2,3,1,230,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
253,38,2,3,8,2,1,2,3,4,451,2,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
