V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
0.954022,0.812772,0.717995,0.553226,0.769865,0.233196,0.250511,0.790634,0.346633,0.367809,0.73842,0.316538,0.421823,0.25792,0.236528,0.363828,0.638023,0.659243,0.460664,0.587002,0.570134,0.484554,0.656445,0.346695,0.664346,0.510973,0.432957,0.324747,3.9e-05,1.0
0.963638,0.795332,0.734828,0.452409,0.750132,0.240113,0.23682,0.798282,0.438849,0.394385,0.681473,0.382866,0.505824,0.387869,0.380663,0.30694,0.561319,0.57745,0.73335,0.586257,0.573462,0.513018,0.6755,0.393419,0.470635,0.478077,0.427971,0.316879,3.9e-05,1.0
0.965894,0.793447,0.73932,0.449458,0.749265,0.241051,0.236624,0.798792,0.438035,0.397198,0.669089,0.384378,0.497506,0.410019,0.376682,0.301479,0.548415,0.561179,0.740035,0.586117,0.573667,0.51657,0.675316,0.399949,0.470794,0.480139,0.430327,0.316684,3.9e-05,1.0
0.921429,0.805662,0.759288,0.372978,0.751426,0.239483,0.239554,0.803659,0.417815,0.369756,0.663108,0.379995,0.483159,0.393669,0.303578,0.33186,0.547939,0.566112,0.591271,0.585597,0.571879,0.486541,0.665426,0.391895,0.583071,0.475841,0.426711,0.319191,3.9e-05,1.0
0.926631,0.803583,0.759985,0.376288,0.751455,0.239571,0.239396,0.803639,0.413195,0.363897,0.660884,0.377388,0.472793,0.396644,0.303693,0.333187,0.548276,0.567786,0.591803,0.584108,0.572247,0.485948,0.665252,0.391749,0.581191,0.47525,0.424226,0.317362,3.9e-05,1.0
0.879853,0.78515,0.783446,0.443796,0.753106,0.253067,0.23747,0.790451,0.47904,0.393356,0.57086,0.295889,0.456405,0.32981,0.275963,0.209175,0.446307,0.369889,0.699234,0.57985,0.569247,0.516843,0.667172,0.352917,0.570117,0.356115,0.398016,0.331201,4.3e-05,1.0
0.913073,0.829052,0.704787,0.534739,0.765308,0.231535,0.246448,0.804463,0.330803,0.35993,0.707671,0.329978,0.443106,0.278744,0.209396,0.373683,0.650496,0.672123,0.455378,0.584515,0.573324,0.489696,0.659719,0.343694,0.634484,0.492943,0.421684,0.319292,3.9e-05,1.0
0.915213,0.82839,0.705397,0.535452,0.765277,0.231486,0.246442,0.804943,0.329167,0.357733,0.705808,0.327251,0.432235,0.280878,0.209926,0.374273,0.650932,0.673795,0.455115,0.584617,0.573033,0.489129,0.659458,0.343314,0.634699,0.495029,0.424137,0.319378,3.9e-05,1.0
0.898848,0.769987,0.759616,0.467099,0.718764,0.2995,0.298443,0.764503,0.436059,0.467596,0.564204,0.440435,0.560881,0.520368,0.360081,0.385318,0.581894,0.571873,0.693212,0.547869,0.544515,0.519586,0.633965,0.405179,0.555799,0.473859,0.453166,0.294851,0.07044,1.0
0.922184,0.830288,0.646198,0.651209,0.754343,0.234321,0.217773,0.80717,0.259438,0.243048,1.0,0.03447,0.414966,0.0,0.264376,0.122857,0.280664,0.275369,0.53126,0.59617,0.588022,0.49704,0.65556,0.225311,0.673433,0.53829,0.455637,0.335628,3.9e-05,1.0
0.96472,0.808565,0.738175,0.522078,0.777153,0.234795,0.261754,0.784061,0.375601,0.402106,0.562045,0.408719,0.554519,0.322101,0.281037,0.428261,0.757046,0.720602,0.406704,0.584955,0.563896,0.481949,0.656319,0.327915,0.665947,0.510697,0.426255,0.321483,3.9e-05,1.0
0.934057,0.810962,0.667522,0.54744,0.733743,0.242176,0.203887,0.815328,0.35084,0.272437,0.930669,0.10231,0.490648,0.152099,0.404531,0.060508,0.191056,0.177305,0.81063,0.595286,0.591555,0.529055,0.67443,0.278565,0.47988,0.507456,0.453007,0.327565,3.9e-05,1.0
0.892187,0.842162,0.639409,0.633496,0.75181,0.233005,0.215774,0.817286,0.246693,0.235755,0.976262,0.039654,0.420836,0.013188,0.240405,0.130347,0.288694,0.287262,0.524132,0.594987,0.589804,0.501181,0.65788,0.221975,0.644622,0.524313,0.45124,0.330886,3.9e-05,1.0
0.973909,0.811571,0.706832,0.58116,0.773244,0.233996,0.257186,0.789289,0.386883,0.423112,0.557051,0.416648,0.582548,0.328635,0.334581,0.41011,0.778549,0.743784,0.540888,0.585966,0.566575,0.512605,0.668563,0.32592,0.526759,0.501654,0.428091,0.316327,3.9e-05,1.0
0.878501,0.795683,0.759866,0.494308,0.755236,0.247442,0.240352,0.791327,0.41116,0.413654,0.598998,0.276446,0.477324,0.372402,0.377337,0.237757,0.4334,0.365045,0.640741,0.578573,0.570731,0.506291,0.670162,0.349104,0.596893,0.43072,0.388668,0.325464,0.0,1.0
0.877976,0.799382,0.740402,0.514722,0.750968,0.247644,0.238018,0.795215,0.417756,0.42309,0.591499,0.284926,0.490368,0.382413,0.391919,0.23383,0.442553,0.371788,0.680837,0.578053,0.571974,0.521926,0.674772,0.350147,0.540223,0.419961,0.391929,0.327445,0.001183,1.0
0.889251,0.799978,0.816819,0.396649,0.752902,0.266241,0.259538,0.750228,0.559952,0.529724,0.474814,0.440198,0.515885,0.436895,0.268714,0.351559,0.58455,0.535128,0.511582,0.574602,0.588701,0.506353,0.668311,0.446846,0.54947,0.358498,0.360468,0.300327,0.006993,1.0
0.914299,0.841295,0.599918,0.710437,0.745827,0.232303,0.208691,0.821316,0.268002,0.26347,0.979204,0.054841,0.452633,0.024227,0.313588,0.111317,0.311526,0.302154,0.662509,0.596118,0.591911,0.525612,0.669706,0.222367,0.53916,0.528636,0.452212,0.329149,3.9e-05,1.0
0.909365,0.822395,0.645702,0.54849,0.726941,0.240458,0.197124,0.828451,0.344646,0.26951,0.906516,0.120784,0.505182,0.179232,0.397736,0.070548,0.205129,0.183009,0.807501,0.592951,0.593767,0.52641,0.677244,0.277348,0.485467,0.505087,0.442863,0.324958,3.9e-05,1.0
0.865631,0.854703,0.616426,0.63291,0.744807,0.231048,0.208986,0.830922,0.244729,0.236929,0.952996,0.058511,0.435218,0.039149,0.234192,0.140127,0.302702,0.2924,0.518438,0.59417,0.59124,0.497567,0.660818,0.220308,0.653808,0.524833,0.445577,0.329535,3.9e-05,1.0
0.887739,0.853831,0.576935,0.709855,0.738826,0.230344,0.201902,0.834952,0.266037,0.264643,0.955936,0.073698,0.467014,0.050189,0.307374,0.121095,0.325535,0.307297,0.656811,0.595306,0.593349,0.521997,0.67265,0.220694,0.548349,0.529154,0.446546,0.327801,3.9e-05,1.0
0.878268,0.858383,0.568886,0.709112,0.736423,0.229613,0.199632,0.839667,0.266793,0.266401,0.948478,0.080111,0.471758,0.058451,0.305498,0.12427,0.330182,0.308818,0.654059,0.595536,0.593568,0.520471,0.673667,0.21999,0.552608,0.530291,0.446153,0.327768,3.9e-05,1.0
0.879434,0.79788,0.810157,0.363077,0.759847,0.252554,0.255645,0.750471,0.52854,0.531013,0.483812,0.4576,0.533442,0.536223,0.412185,0.295356,0.578008,0.492034,0.716313,0.575307,0.593133,0.499889,0.657275,0.469221,0.558004,0.325518,0.344377,0.299502,0.000443,1.0
0.976784,0.776739,0.844253,0.392465,0.766899,0.260788,0.265215,0.785269,0.492407,0.496464,0.349076,0.608175,0.544002,0.634947,0.259899,0.460026,0.797929,0.642144,0.443624,0.577951,0.554652,0.472671,0.666586,0.404819,0.597563,0.40602,0.41675,0.314225,0.000148,1.0
0.978507,0.777201,0.83884,0.385984,0.768493,0.260864,0.265682,0.784202,0.493225,0.497255,0.294498,0.599536,0.575371,0.630718,0.243598,0.476616,0.780729,0.689493,0.495758,0.578738,0.553377,0.46117,0.664591,0.336327,0.608287,0.409391,0.416455,0.314135,0.000148,1.0
0.95032,0.778986,0.872781,0.32869,0.766626,0.262078,0.266977,0.786276,0.482769,0.505317,0.315041,0.590302,0.519871,0.696515,0.306403,0.471805,0.734474,0.650074,0.364297,0.576446,0.564049,0.537679,0.664638,0.425455,0.557187,0.403134,0.41465,0.313922,0.000153,1.0
0.868796,0.862935,0.560837,0.70837,0.734021,0.228882,0.197361,0.844383,0.267549,0.26816,0.941019,0.086524,0.476501,0.066713,0.303622,0.127444,0.334829,0.31034,0.651307,0.595767,0.593787,0.518944,0.674685,0.219286,0.556868,0.531428,0.445761,0.327736,3.9e-05,1.0
0.870158,0.840778,0.603288,0.633954,0.690221,0.269779,0.207709,0.842546,0.294087,0.264857,0.842425,0.135291,0.545583,0.247542,0.356843,0.109449,0.196825,0.178813,0.749392,0.573624,0.595108,0.545494,0.676079,0.295086,0.487138,0.453601,0.428077,0.30968,0.02983,1.0
0.750623,0.807925,0.621382,0.679632,0.747358,0.218323,0.131799,0.788827,0.310065,0.276969,0.84003,0.210265,0.517105,0.305104,0.389664,0.128198,0.222458,0.098869,0.688798,0.557403,0.542783,0.439864,0.37949,0.455655,0.309503,0.424179,0.472851,0.297396,0.047444,1.0
0.712391,0.835877,0.530479,0.751535,0.737778,0.229116,0.164618,0.769896,0.228006,0.225883,0.912368,0.137984,0.461616,0.139469,0.316922,0.173672,0.359093,0.301388,0.608545,0.591991,0.521566,0.526004,0.612498,0.27199,0.586518,0.548789,0.466468,0.292975,3.9e-05,1.0
0.748659,0.814616,0.549983,0.699977,0.695568,0.264334,0.170317,0.772967,0.280045,0.24102,0.808923,0.19326,0.538546,0.31621,0.363986,0.147071,0.221429,0.186117,0.724916,0.579355,0.527794,0.59145,0.685881,0.307546,0.487492,0.450559,0.438891,0.27519,0.007348,1.0
0.696686,0.846102,0.507704,0.746889,0.719307,0.241696,0.174502,0.777649,0.21561,0.215616,0.896461,0.139389,0.47505,0.152918,0.310435,0.184342,0.364949,0.31789,0.610531,0.5921,0.522067,0.543969,0.660309,0.249944,0.633774,0.558865,0.45828,0.289217,3.9e-05,1.0
0.717407,0.845565,0.466481,0.780667,0.712034,0.240874,0.171101,0.78156,0.242996,0.232551,0.891099,0.155274,0.494292,0.158795,0.315291,0.186539,0.369679,0.320614,0.622129,0.590942,0.523325,0.56279,0.680153,0.24302,0.559541,0.529124,0.456599,0.284809,3.9e-05,1.0
0.708141,0.850353,0.458398,0.779721,0.709513,0.240269,0.168896,0.786221,0.243798,0.234343,0.883737,0.161651,0.499024,0.166975,0.313499,0.189799,0.374294,0.321886,0.619524,0.590875,0.523398,0.561325,0.680837,0.242585,0.563605,0.530374,0.4564,0.284688,3.9e-05,1.0
0.698852,0.855116,0.450318,0.778796,0.707005,0.239651,0.166685,0.790887,0.244596,0.236132,0.876365,0.168033,0.503757,0.175163,0.311699,0.19305,0.378913,0.323184,0.616903,0.59084,0.523485,0.559854,0.681556,0.242122,0.56769,0.531612,0.456181,0.284575,3.9e-05,1.0
0.689546,0.859858,0.442241,0.77789,0.704507,0.239022,0.164468,0.795558,0.245389,0.237918,0.868984,0.174417,0.508491,0.183359,0.309891,0.196292,0.383534,0.324505,0.614269,0.590831,0.523586,0.558377,0.682305,0.241635,0.571792,0.532839,0.455944,0.284471,3.9e-05,1.0
0.680223,0.864582,0.434167,0.776999,0.702018,0.238383,0.162246,0.800234,0.246178,0.239701,0.861596,0.180804,0.513226,0.191562,0.308076,0.199529,0.388158,0.325845,0.611624,0.590845,0.523699,0.556896,0.68308,0.241127,0.57591,0.534058,0.455693,0.284374,3.9e-05,1.0
0.670887,0.86929,0.426095,0.776122,0.699537,0.237735,0.160019,0.804913,0.246965,0.241482,0.854202,0.187194,0.517961,0.199769,0.306256,0.202759,0.392784,0.327201,0.608969,0.590878,0.52382,0.55541,0.683876,0.240601,0.58004,0.53527,0.455429,0.284282,3.9e-05,1.0
0.661539,0.873985,0.418025,0.775257,0.697063,0.237081,0.157788,0.809595,0.247749,0.24326,0.846801,0.193585,0.522698,0.207982,0.30443,0.205985,0.397412,0.328572,0.606306,0.590929,0.523951,0.553921,0.684692,0.240059,0.584182,0.536475,0.455153,0.284196,3.9e-05,1.0
0.652181,0.878667,0.409957,0.774402,0.694595,0.23642,0.155555,0.81428,0.24853,0.245038,0.839396,0.199979,0.527435,0.216198,0.302601,0.209206,0.402042,0.329956,0.603635,0.590995,0.524089,0.552428,0.685525,0.239504,0.588333,0.537675,0.454868,0.284115,3.9e-05,1.0
0.978551,0.781387,0.82565,0.3904,0.770047,0.251112,0.267778,0.782666,0.476943,0.490932,0.352129,0.562332,0.476815,0.613379,0.335289,0.495705,0.807008,0.742148,0.441194,0.578291,0.555394,0.468531,0.664332,0.38701,0.608812,0.42101,0.416051,0.314618,0.000121,1.0
0.688111,0.87693,0.505856,0.526149,0.681311,0.222532,0.180688,0.899758,0.364776,0.308678,0.725001,0.265644,0.558502,0.355531,0.285887,0.204621,0.333524,0.324718,0.662362,0.596253,0.58691,0.450313,0.656504,0.387679,0.633787,0.380733,0.44767,0.323835,0.003892,1.0
0.676303,0.878489,0.493979,0.518672,0.678026,0.221509,0.179342,0.90511,0.321558,0.317905,0.661666,0.366783,0.437621,0.3157,0.340605,0.209514,0.316803,0.306998,0.675163,0.596608,0.589301,0.456309,0.655334,0.396811,0.637793,0.387271,0.448028,0.323502,0.003892,1.0
0.66481,0.881422,0.484536,0.519971,0.67507,0.221128,0.177572,0.909611,0.322443,0.319342,0.654621,0.373327,0.443581,0.324119,0.340012,0.213432,0.32136,0.308279,0.671886,0.596715,0.589365,0.453673,0.654639,0.397399,0.64073,0.387357,0.447595,0.323346,0.003892,1.0
0.977412,0.779183,0.820727,0.370541,0.772381,0.260573,0.267282,0.786704,0.423394,0.501069,0.394375,0.685678,0.360868,0.570783,0.357145,0.496352,0.782746,0.732336,0.46125,0.578787,0.558792,0.485683,0.663765,0.302452,0.60714,0.43253,0.416791,0.314415,0.000146,1.0
0.644429,0.889512,0.466532,0.519612,0.668432,0.22133,0.17485,0.918733,0.323149,0.32168,0.640071,0.385184,0.454422,0.34033,0.337136,0.220814,0.330231,0.312263,0.666487,0.597066,0.589547,0.451665,0.659549,0.395131,0.652156,0.389846,0.446575,0.32291,0.003892,1.0
0.632452,0.891955,0.457586,0.521728,0.666697,0.219698,0.171793,0.923302,0.324992,0.323991,0.633119,0.39281,0.460238,0.349179,0.336991,0.224484,0.335105,0.31224,0.662654,0.597013,0.589639,0.446907,0.654103,0.398004,0.650766,0.388724,0.446432,0.322958,0.003892,1.0
0.620959,0.894888,0.448143,0.523027,0.66374,0.219317,0.170023,0.927804,0.325877,0.325429,0.626073,0.399353,0.466198,0.357598,0.336398,0.228402,0.339662,0.313521,0.659378,0.59712,0.589702,0.444272,0.653407,0.398592,0.653702,0.388811,0.445999,0.322802,0.003892,1.0
0.609468,0.897822,0.4387,0.524325,0.660783,0.218938,0.168253,0.932305,0.326763,0.326866,0.619028,0.405897,0.472158,0.366016,0.335806,0.232321,0.344218,0.3148,0.656103,0.597224,0.589764,0.441637,0.65271,0.399183,0.656637,0.388898,0.445568,0.322645,0.003892,1.0
0.597977,0.900758,0.429258,0.525622,0.657825,0.218559,0.166484,0.936806,0.327648,0.328303,0.611984,0.41244,0.478118,0.374434,0.335213,0.23624,0.348774,0.316078,0.652829,0.597327,0.589826,0.439002,0.652011,0.399774,0.659571,0.388987,0.445138,0.322488,0.003892,1.0
0.586487,0.903694,0.419815,0.526918,0.654867,0.21818,0.164715,0.941306,0.328534,0.329741,0.60494,0.418983,0.484078,0.382852,0.334622,0.24016,0.353331,0.317355,0.649556,0.597429,0.589887,0.436368,0.65131,0.400367,0.662504,0.389075,0.444708,0.322331,0.003892,1.0
0.574998,0.906632,0.410371,0.528213,0.651908,0.217802,0.162946,0.945807,0.329421,0.331179,0.597897,0.425526,0.490038,0.391269,0.33403,0.24408,0.357887,0.31863,0.646282,0.59753,0.589948,0.433734,0.650608,0.400961,0.665437,0.389165,0.444279,0.322173,0.003892,1.0
0.56351,0.90957,0.400928,0.529508,0.648949,0.217425,0.161177,0.950307,0.330307,0.332617,0.590853,0.432069,0.495997,0.399686,0.333439,0.248,0.362443,0.319905,0.64301,0.597629,0.590008,0.4311,0.649904,0.401555,0.668368,0.389254,0.443851,0.322015,0.003892,1.0
0.552023,0.912509,0.391485,0.530801,0.645989,0.217048,0.159409,0.954807,0.331193,0.334055,0.583811,0.438611,0.501957,0.408103,0.332848,0.25192,0.366998,0.321179,0.639738,0.597728,0.590067,0.428467,0.6492,0.402151,0.671299,0.389345,0.443424,0.321856,0.003892,1.0
0.540536,0.915449,0.382041,0.532094,0.643029,0.216671,0.157641,0.959307,0.33208,0.335493,0.576768,0.445154,0.507917,0.416519,0.332258,0.255841,0.371554,0.322453,0.636466,0.597825,0.590126,0.425834,0.648495,0.402748,0.67423,0.389435,0.442997,0.321698,0.003892,1.0
0.52905,0.91839,0.372598,0.533387,0.640069,0.216294,0.155873,0.963806,0.332967,0.336931,0.569726,0.451697,0.513876,0.424936,0.331668,0.259762,0.37611,0.323725,0.633195,0.597922,0.590185,0.423201,0.647788,0.403345,0.67716,0.389526,0.442571,0.321539,0.003892,1.0
0.517564,0.921331,0.363154,0.534679,0.637109,0.215918,0.154105,0.968306,0.333854,0.338369,0.562684,0.458239,0.519836,0.433352,0.331078,0.263683,0.380665,0.324997,0.629925,0.598018,0.590243,0.420568,0.647081,0.403943,0.680089,0.389616,0.442145,0.321379,0.003892,1.0
0.963187,0.777448,0.812123,0.337125,0.752842,0.251656,0.248211,0.792344,0.438829,0.437018,0.425127,0.559963,0.388916,0.482883,0.460787,0.366116,0.590628,0.52112,0.533181,0.583789,0.571202,0.52779,0.664481,0.418802,0.596836,0.52773,0.426942,0.319332,0.000909,1.0
0.497156,0.92939,0.345153,0.534347,0.630485,0.216104,0.151375,0.977435,0.334554,0.340702,0.548121,0.470101,0.530679,0.449573,0.328191,0.271053,0.38954,0.329014,0.624506,0.598407,0.590445,0.418552,0.652034,0.40164,0.691541,0.39209,0.441099,0.320955,0.003892,1.0
0.910942,0.766506,0.811329,0.400955,0.743114,0.268709,0.267205,0.795757,0.385413,0.433175,0.343995,0.559659,0.373916,0.539057,0.252151,0.3554,0.561407,0.453122,0.473053,0.59738,0.575713,0.498546,0.691456,0.411869,0.586679,0.382015,0.420584,0.31832,0.028448,1.0
0.485188,0.931842,0.336206,0.536454,0.628746,0.214477,0.148321,0.982002,0.336398,0.343015,0.541173,0.477725,0.536495,0.458419,0.328049,0.274727,0.394413,0.328981,0.620679,0.598343,0.590531,0.413795,0.646575,0.404523,0.690143,0.390972,0.440964,0.320999,0.003892,1.0
0.473702,0.934783,0.326762,0.537746,0.625786,0.214101,0.146553,0.986502,0.337285,0.344454,0.534131,0.484268,0.542454,0.466835,0.327459,0.278648,0.398969,0.330253,0.617408,0.598439,0.590589,0.411162,0.645868,0.405121,0.693073,0.391063,0.440538,0.32084,0.003892,1.0
0.462216,0.937725,0.317319,0.539038,0.622825,0.213725,0.144785,0.991001,0.338172,0.345892,0.527089,0.49081,0.548414,0.475251,0.326869,0.282569,0.403524,0.331525,0.614137,0.598535,0.590647,0.408529,0.645161,0.405719,0.696002,0.391154,0.440112,0.320681,0.003892,1.0
0.450731,0.940667,0.307875,0.54033,0.619864,0.213349,0.143017,0.995501,0.339059,0.347331,0.520047,0.497352,0.554374,0.483667,0.326279,0.286491,0.40808,0.332796,0.610867,0.59863,0.590705,0.405896,0.644452,0.406318,0.698931,0.391246,0.439687,0.320521,0.003892,1.0
0.439247,0.943609,0.298431,0.541621,0.616903,0.212974,0.14125,1.0,0.339947,0.348769,0.513006,0.503895,0.560333,0.492082,0.325689,0.290412,0.412635,0.334066,0.607597,0.598724,0.590763,0.403264,0.643743,0.406917,0.701859,0.391337,0.439263,0.320362,0.003892,1.0
0.977029,0.79711,0.769263,0.460618,0.785495,0.244913,0.275546,0.782165,0.36691,0.469725,0.510814,0.649147,0.346713,0.408087,0.31394,0.52864,0.912584,0.857679,0.354034,0.579937,0.559755,0.498366,0.657687,0.321738,0.65041,0.509789,0.41668,0.316235,2.6e-05,1.0
0.940274,0.794783,0.785919,0.445209,0.790886,0.235588,0.277464,0.781552,0.367788,0.460392,0.410849,0.606502,0.297342,0.400212,0.34214,0.522197,0.920263,0.830046,0.306695,0.579317,0.560461,0.500356,0.662712,0.368263,0.628211,0.491994,0.414095,0.317024,2.6e-05,1.0
0.962874,0.804714,0.736728,0.509455,0.776076,0.240205,0.260334,0.789151,0.333287,0.413707,0.611122,0.490947,0.243352,0.296877,0.319436,0.427031,0.743035,0.717915,0.410701,0.583572,0.567462,0.494996,0.657268,0.31208,0.655269,0.517693,0.426723,0.32129,2.6e-05,1.0
0.973987,0.770889,0.787507,0.328251,0.745389,0.256588,0.242197,0.799321,0.492545,0.44882,0.465358,0.608114,0.327543,0.546147,0.416982,0.29982,0.58852,0.549517,0.797721,0.582085,0.575987,0.579132,0.676204,0.406079,0.47599,0.337809,0.425537,0.312115,0.001179,1.0
0.910199,0.776603,0.858207,0.378769,0.767882,0.265935,0.276125,0.759093,0.465182,0.575862,0.325442,0.678673,0.431089,0.615328,0.456187,0.416771,0.73177,0.588595,0.60117,0.569438,0.570291,0.525657,0.66799,0.466263,0.548318,0.412509,0.369768,0.319439,0.00408,1.0
0.963186,0.785499,0.808784,0.420981,0.758372,0.253119,0.251939,0.79134,0.392716,0.452153,0.426126,0.566367,0.435208,0.486529,0.393531,0.370499,0.587851,0.47809,0.492822,0.58309,0.565706,0.480477,0.666813,0.407515,0.598603,0.403809,0.427153,0.319412,0.0,1.0
0.921273,0.767472,0.79959,0.365947,0.741052,0.26384,0.266989,0.79247,0.380999,0.434595,0.402779,0.572257,0.461543,0.554061,0.46119,0.320673,0.583541,0.475377,0.69367,0.601113,0.578026,0.524008,0.690039,0.42649,0.583882,0.538448,0.420143,0.318016,0.027914,1.0
0.967455,0.783665,0.80161,0.395628,0.76696,0.263305,0.256123,0.791146,0.393889,0.464587,0.449184,0.619659,0.495952,0.48961,0.352936,0.424684,0.63761,0.627776,0.509729,0.583489,0.567473,0.515254,0.660901,0.24023,0.621195,0.464795,0.424234,0.317835,0.00074,1.0
0.976663,0.771652,0.852367,0.363678,0.765682,0.268684,0.264604,0.787779,0.439576,0.522057,0.351917,0.750845,0.474832,0.647343,0.24703,0.452068,0.724762,0.605543,0.512144,0.578506,0.55891,0.495796,0.66623,0.383819,0.598964,0.408085,0.416899,0.313338,5.9e-05,1.0
0.96396,0.785195,0.792419,0.413463,0.761778,0.256438,0.251491,0.792629,0.392422,0.45007,0.451909,0.53863,0.342309,0.466931,0.348525,0.406121,0.583084,0.630045,0.553621,0.583772,0.569043,0.503296,0.660711,0.278525,0.623253,0.462719,0.426681,0.319323,0.000738,1.0
0.916854,0.794602,0.788198,0.308948,0.753753,0.248581,0.251916,0.760899,0.452691,0.431809,0.517642,0.432069,0.354534,0.32133,0.405666,0.298655,0.461588,0.441325,0.577195,0.585733,0.590084,0.474046,0.66641,0.396237,0.574675,0.465085,0.411552,0.298032,0.004877,1.0
